Name,Internal Name,Antigen,Company,Trials ▼,Patents,Papers,Seq,Activity by Year,symbol
GSK2434735,DOM-0910,IL-4,Domantis,1.0,3.0,,nan,,IL4
CSL360   ==,"7G3, TLA",IL-3Rα,CSL,1.0,18.0,1.0,nan,,IL3RA
NI-0701,nan,RANTES,NovImmune,1.0,6.0,,✓,,CCL5
PAT-SM6,SAM-6,GRP78,Patrys,1.0,8.0,4.0,✓,,HSPA5
telisotuzumab   >>,"h224G11, ABT-700",cMet,"Abbott, Abbvie, Pierre Fabre",1.0,56.0,7.0,✓,,MET
perakizumab,"RG4934, RO5310074, huMAb IL-17, 3C1",IL-17,Roche,1.0,5.0,,✓,,IL17A
HuMax-IL8,"HuMax-Inflam, MDX-018, HumMax-IL8",IL-8,"BMS, Cormorant, Genmab",1.0,19.0,1.0,✓,,CXCL8
TAK-701,"TAK701, HuL2G7",HGF/SF,"Galaxy Bio, Millennium",1.0,17.0,4.0,✓,,HGF
AV-203,nan,HER3,"AVEO, Biogen",1.0,14.0,,nan,,ERBB3
solitomab,"MT110, AMG 110",CD3,Micromet,1.0,10.0,17.0,✓,,CD3E
solitomab,"MT110, AMG 110",EpCAM,Micromet,1.0,10.0,17.0,✓,,EPCAM
MT112,"BAY 2010112, BAY2010112, AMG 212",PSMA,"Amgen, Bayer, Micromet",1.0,,1.0,nan,,FOLH1
MT293,"TRA093, TRC093",Collagen,"Micromet, Tracon",1.0,,,nan,,nan
HGS004,"CCR5 mab, CCR5mAb004",CCR5,HGS,1.0,5.0,5.0,nan,,CCR5
CVX-241,PF-05057459,Angiopoietin 2,"CovX, Pfizer",1.0,2.0,1.0,nan,,ANGPT2
CVX-241,PF-05057459,VEGF-A,"CovX, Pfizer",1.0,2.0,1.0,nan,,VEGFA
REGN728,nan,Undisclosed,"Regeneron, Sanofi",1.0,,,nan,,nan
KHK2866,nan,HB-EGF,KHK,1.0,10.0,2.0,✓,,HBEGF
sofituzumab vedotin   <<,"3A5, DMUC5754A, RG7458, DMUC4064A",CA125,"Genentech, Seattle Genetics",1.0,14.0,4.0,✓,,MUC16
samrotamab vedotin,"ABBV-085, M25",LFL2,"Abbvie, PDL",1.0,14.0,4.0,✓,,nan
MDX1201-A488,MDX1201,PSMA,Medarex,1.0,10.0,,nan,,FOLH1
MEDI 5117,"MEDI5117, CAT6001",IL-6,"AstraZeneca, Medimmune",1.0,16.0,2.0,✓,,IL6
MEDI4212,nan,IgE,"AstraZeneca, Medimmune",1.0,8.0,2.0,nan,,nan
MINT1526A,7H5,Integrin α5β1,Genentech,1.0,15.0,1.0,✓,,ITGA5
LY3076226,"D11, IMC-D11",FGFR3,"ImClone, ImmunoGen, Lilly",1.0,8.0,2.0,✓,,FGFR3
PF-08046049,SGN-CD228A,Melanotransferrin,"Pfizer, Seattle Genetics",1.0,10.0,2.0,nan,,MFI2
atinumab,ATI355,Nogo-A,Novartis,1.0,,,✓,,RTN4
FGI-101-1A6,nan,TSG101,"Func. Genetics, Lilly",1.0,5.0,,nan,,TSG101
MEDI-578,MEDI578,NGF,Medimmune,1.0,,3.0,✓,,NGF
SAR228810,SAR255952,Amyloid beta,"Innogenetics, Sanofi",1.0,14.0,2.0,nan,,APP
RO5458640   ==,RG7212,TWEAK,Roche,1.0,10.0,3.0,✓,,TNFSF12
IMMU-114   >>,L243,HLA-DR,Immunomedics,1.0,37.0,1.0,✓,,HLA-DRA
LY2928057,nan,Ferroportin,Lilly,1.0,5.0,,✓,,SLC40A1
BMS-981164,Zymogenetics patent anti-IL-31,IL-31,"BMS, Merck Serono, Zymogenetics",1.0,61.0,1.0,?,,IL31
SAIT301   >>,AbF46,cMet,Samsung,1.0,50.0,2.0,✓,,MET
KHK2898,nan,CD98,KHK,1.0,7.0,,nan,,SLC3A2
U.Tennessee patent anti-Amyloid Beta   >>,"c11-1F4, CAEL-101",Amyloid beta,U.Tennessee,1.0,7.0,4.0,nan,,APP
PF-03732010   >>,nan,P-cadherin,Pfizer,1.0,6.0,1.0,✓,,CDH3
PF-05230900,"Ab-01, Ab-02, ATR 107, ATR-107",IL-21R,Pfizer,1.0,,6.0,nan,,IL21R
AGS-16M8F   ==,"AGS-16F, AGS16F",ENPP3,"Agensys, Astellas",1.0,,2.0,nan,,ENPP3
camoteskimab,nan,IL-18,Medimmune,1.0,2.0,,✓,,IL18
MEDI7814,nan,C5,Medimmune,1.0,1.0,1.0,nan,,C5
MEDI0639,nan,DLL4,Medimmune,1.0,10.0,,?,,DLL4
lodelcizumab,"LFU720, pJG04, LGT209, LGT-209",PCSK9,"Cyon, Novartis",1.0,8.0,,✓,,PCSK9
lupartumab amadotin,BAY1129980,C4.4a,Bayer,1.0,3.0,1.0,✓,,LYPD3
LY2624587,nan,CXCR4,Lilly,1.0,5.0,1.0,?,,CXCR4
AGS-009,"ACO-1, ACO-2",IFNA1,"Argos, Novo Nordisk",1.0,8.0,,✓,,IFNA1
LY2787106,JXB7,Hepcidin,Lilly,1.0,10.0,,✓,,HAMP
TAS266,TAS266,DR5,"Ablynx, Novartis",1.0,2.0,,?,,TNFRSF10B
Merck patent anti-CD19,"B4, DI-B4",CD19,Merck Serono,1.0,7.0,,?,,CD19
AbGn-7,nan,Sialyl-Lewis A,AltruBio,1.0,,,nan,,FUT3
AbGn-107,Ab1-18Hr1,nan,AltruBio,1.0,,1.0,nan,,nan
LY3022859,IMC-TR1,TGFβRII,"ImClone, Lilly",1.0,6.0,1.0,✓,,TGFBR2
K1-70,RSR patent anti-TSHR,TSHR,"AV7, RSR",1.0,19.0,1.0,?,,TSHR
DFRF4539A   ==,"RG7598, hu10A8.v1",IRTA2,Genentech,1.0,24.0,,✓,,FCRL5
KHK2823,KHK patent anti-IL-3Rα,IL-3Rα,KHK,1.0,7.0,,nan,,IL3RA
AMG 780,nan,Angiopoietin 1,Amgen,1.0,8.0,1.0,nan,,ANGPT1
AMG 780,nan,Angiopoietin 2,Amgen,1.0,8.0,1.0,nan,,ANGPT2
HGS1025,nan,CCR5,HGS,1.0,,,nan,,CCR5
CDX-0158,KTN0158,c-Kit,"Celldex, Kolltan",1.0,37.0,1.0,?,,KIT
GMA161,3G8,Fc gamma R3b,Genzyme,1.0,,1.0,nan,,FCGR3B
ARGX-111,nan,cMet,argenx,1.0,14.0,,?,,MET
AMG 172,nan,CD70,"Amgen, ImmunoGen",1.0,7.0,1.0,nan,,CD70
AMG 595,AMG-595,EGFR,"Amgen, ImmunoGen",1.0,2.0,1.0,nan,,EGFR
Chi Lob 7/4,nan,CD40,Cancer Res UK,1.0,,1.0,nan,,CD40
ATM001,"Atrosimab, ATROSAB, H398",TNFR1,"Baliopharm, U.Stuttgart",1.0,9.0,2.0,nan,,TNFRSF1A
AG01,AG1,GP88,A&G Pharma,1.0,2.0,,nan,,PGRMC1
U3-1565,nan,HB-EGF,"Amgen, Daiichi Sankyo, U3 Pharma",1.0,5.0,2.0,nan,,HBEGF
PF-06263507,A1mcMMAF,TPBG,Pfizer,1.0,1.0,6.0,✓,,TPBG
FF-21101,nan,P-cadherin,"Fujifilm, Perseus, U. Tokyo",1.0,22.0,5.0,nan,,CDH3
TCN-202,nan,CMV - unspecified,Theraclone,1.0,,,nan,,nan
RO5469754,nan,Undisclosed,Roche,1.0,,,nan,,nan
GBR 900,BXL1H5,TrkA,Glenmark / Ichnos,1.0,7.0,,nan,,NTRK1
PF-06688992,R24,GD3,"Pfizer, Sloan-Kettering",1.0,6.0,,nan,,nan
NIH patent anti-EGFR CAR   >>   <<,"139, 40H3",EGFR,"NCI, NIH",1.0,14.0,1.0,nan,,EGFR
AMP-224,nan,PD-L1,"Amplimmune, GSK, Medimmune",1.0,5.0,,nan,,CD274
BMS-986090,nan,CD40,"BMS, Domantis",1.0,11.0,,nan,,CD40
NCI Hu-Mikβ1,Hu-Mikβ1,IL-2RB,NCI,1.0,,1.0,nan,,IL2RB
NKTT120,nan,TCR,NKT,1.0,3.0,1.0,nan,,nan
AVX-470,nan,TNF-alpha,Avaxia,1.0,6.0,3.0,nan,,TNF
MEN1112,"OBT357NF, OBT357",BST1,"Menarini, Oxford Bio",1.0,9.0,1.0,nan,,BST1
GEM3PSCA,MB1,CD3,"GEMoaB, U.Dresden",1.0,3.0,1.0,nan,,CD3E
GEM3PSCA,MB1,PSCA,"GEMoaB, U.Dresden",1.0,3.0,1.0,nan,,PSCA
REGN1154,nan,Undisclosed,Regeneron,1.0,,,nan,,nan
laprituximab emtansine,"IMGN289, J2898A, huEGFR-7R-SMCC-DM1",EGFR,ImmunoGen,1.0,13.0,,✓,,EGFR
Shanghai Cancer Inst patent anti-EGFRvIII,"CH12, CSG-EGFR",EGFR,"Carsgen, Shanghai Cancer Inst., Shanghai Yile Biotech",1.0,7.0,5.0,✓,,EGFR
IGN523,nan,CD98,Igenica,1.0,1.0,1.0,nan,,SLC3A2
APX001,SSS07,TNF-alpha,"3SBio, Apexigen",1.0,,2.0,nan,,TNF
MOR209,ES414,CD3,"Aptevo, Emergent, Morphosys",1.0,9.0,1.0,nan,,CD3E
MOR209,ES414,PSMA,"Aptevo, Emergent, Morphosys",1.0,9.0,1.0,nan,,FOLH1
sirtratumab vedotin,"ASG-15ME, AGS15E, AGS15ME",SLITRK6,"Agensys, Seattle Genetics",1.0,,2.0,✓,,SLITRK6
nezutatug,REGN1400,HER3,Regeneron,1.0,14.0,,?,,ERBB3
pegrizeprument,"CD28.3, VEL-101, FR104",CD28,"Effimmune, INSERM, Janssen Biotech, OSE Immunotherapeutics, Veloxis",1.0,18.0,5.0,✓,,CD28
DEDN6526A,RG7636,ETB-R,"Genentech, Seattle Genetics",1.0,8.0,1.0,nan,,EDNRB
BNC101,nan,GPR49,Bionomics,1.0,26.0,,nan,,LGR5
HuL001,nan,ENO1,"Development Center for Biotech., HuniLife Bio, Taipei Med.U.",1.0,15.0,,nan,,ENO1
aprutumab ixadotin   ==,"BAY1187982, BAY1179470 ADC",FGFR2,"Bayer, Seattle Genetics",1.0,3.0,1.0,nan,,FGFR2
GSK2800528,nan,TNF-alpha,Glaxo Group,1.0,,,nan,,TNF
REGN2009,nan,Undisclosed,"Regeneron, Sanofi",1.0,,,nan,,nan
ABBV-011,nan,SEZ6,"Abbvie, StemCentRx",1.0,24.0,3.0,nan,,SEZ6
NI-071   ••,nan,TNF-alpha,Nichi-iko Pharma,1.0,,,nan,,TNF
AM-928,"EpAb2-6, OCAb9-1",EpCAM,"AcadeMab, Academia Sinica",1.0,6.0,2.0,nan,,EPCAM
LY3114062   ==,Lilly patent anti-BAFF/IL-17,BAFF,Lilly,1.0,5.0,,nan,,TNFSF13B
LY3114062   ==,Lilly patent anti-BAFF/IL-17,IL-17,Lilly,1.0,5.0,,nan,,IL17A
RG7841,DLYE5953A,Ly6E,"Genentech, Seattle Genetics",1.0,16.0,4.0,nan,,LY6E
DISC-0974,nan,RGM C,"Abbvie, Disc Medicine",1.0,16.0,,nan,,nan
MEDI1814,"MEDI-1814, MEDI 1814",Amyloid beta,"Lilly, Medimmune",1.0,14.0,1.0,nan,,APP
rosmantuzumab,OMP-131R10,RSPO3,"Celgene, OncoMed",1.0,9.0,1.0,✓,,RSPO3
ralpancizumab,"RN317, PF-05335810",PCSK9,"Pfizer, Rinat",1.0,,1.0,✓,,PCSK9
imaprelimab   ==,PRX003,MUC18,Prothena,1.0,23.0,,✓,,MCAM
encelimab   ==,TSR-033,LAG-3,"AnaptysBio, Tesaro",1.0,8.0,2.0,✓,,LAG3
aprutumab   ==,"BAY1179470, BAY 2304058",FGFR2,Bayer,1.0,1.0,1.0,✓,,FGFR2
PF-08046040   <<,SGN-CD70A,CD70,"Pfizer, Seattle Genetics",1.0,6.0,3.0,nan,,CD70
AGS67E,"AGS-67E, HvCD37-6b15.1.1",CD37,Agensys,1.0,6.0,1.0,✓,,CD37
PF-06647263,Stem Centrx patent anti-EFNA4,EFNA4,"Pfizer, StemCentRx",1.0,17.0,2.0,nan,,EFNA4
tepoditamab,MCLA-117,CD3,Merus,1.0,21.0,,✓,,CD3E
tepoditamab,MCLA-117,CLEC12A,Merus,1.0,21.0,,✓,,CLEC12A
ADCT-502   <<,ADC Therapeutics patent anti-Her2,HER2/neu,"ADC Therapeutics, Medimmune",1.0,6.0,,nan,,ERBB2
BTH1704,nan,MUC1,"Biothera, U.Illinois",1.0,,,nan,,MUC1
PF-06650808,nan,Notch3,Pfizer,1.0,4.0,1.0,nan,,NOTCH3
FS102,Fcab H10-03-6,HER2/neu,"BMS, f-star",1.0,11.0,3.0,nan,,ERBB2
AMG 224,nan,BCMA,Amgen,1.0,10.0,1.0,nan,,TNFRSF17
hPV19,nan,VEGF,Suzhou Stainwei Bio,1.0,3.0,,nan,,VEGFA
GBR1302   ==,HBM9302,CD3,"Glenmark / Ichnos, Harbour Biomed Ltd.",1.0,3.0,,nan,,CD3E
GBR1302   ==,HBM9302,HER2/neu,"Glenmark / Ichnos, Harbour Biomed Ltd.",1.0,3.0,,nan,,ERBB2
rolinsatamab talirine,"ABBV-176, h16f, PR-1594804, ABT-176",PRLR,Abbvie,1.0,13.0,2.0,✓,,PRLR
SAR428926,nan,LAMP1,"ImmunoGen, Sanofi",1.0,4.0,1.0,nan,,LAMP1
OS2966,nan,Integrin β1,Oncosynergy,1.0,6.0,3.0,nan,,ITGB1
LOP628,LMJ729,c-Kit,Novartis,1.0,22.0,3.0,nan,,KIT
PCA062,nan,P-cadherin,"ImmunoGen, Novartis",1.0,7.0,2.0,nan,,CDH3
LY3164530,nan,cMet,Lilly,1.0,6.0,2.0,nan,,MET
LY3164530,nan,EGFR,Lilly,1.0,6.0,2.0,nan,,EGFR
JNJ-55920839,nan,IFNA1,Janssen Biotech,1.0,15.0,1.0,nan,,IFNA1
JNJ-55920839,nan,IFNω,Janssen Biotech,1.0,15.0,1.0,nan,,IFNW1
RG7386   ==,RO6874813,DR5,Glycart,1.0,11.0,1.0,nan,,TNFRSF10B
RG7386   ==,RO6874813,FAP,Glycart,1.0,11.0,1.0,nan,,FAP
ICT01,nan,Butyrophilin 3A1,"ImCheck, INSERM",1.0,23.0,2.0,nan,,BTN3A1
DS-7011,nan,TLR7,"Daiichi Sankyo, U. Tokyo",1.0,9.0,1.0,nan,,TLR7
vibecotamab,XmAb14045,CD3,"Novartis, Xencor",1.0,14.0,1.0,✓,,CD3E
vibecotamab,XmAb14045,IL-3Rα,"Novartis, Xencor",1.0,14.0,1.0,✓,,IL3RA
W0180,K01401-020,B7-H5,"Igenica, Pierre Fabre",1.0,19.0,,nan,,VSIR
ATOR-1015,ADC-1015,CTLA4,Alligator,1.0,6.0,2.0,nan,,CTLA4
ATOR-1015,ADC-1015,OX40,Alligator,1.0,6.0,2.0,nan,,TNFRSF4
MEDI3726   ==,ADCT-401,PSMA,"ADC Therapeutics, Medimmune",1.0,13.0,3.0,nan,,FOLH1
YAH627,HS627,EGFR,Second Military Med Univ,1.0,,2.0,nan,,EGFR
AMG 228,nan,GITR,Amgen,1.0,4.0,1.0,nan,,TNFRSF18
AGX101,nan,TM4SF1,"Angiex, Beth Israel, Pfizer",1.0,27.0,2.0,nan,,TM4SF1
Kyiv Clinical Cancer Hospital anti-CD47,nan,CD47,nan,1.0,,,nan,,CD47
bapotulimab,BAY 1905254,ILDR2,"Bayer, Compugen",1.0,8.0,,✓,,ILDR2
tamrintamab pamozirine,"SC-003, sc34.28SS1",DPEP3,"Abbvie, StemCentRx",1.0,5.0,1.0,✓,,DPEP3
BMO-2   ••,nan,TNF-alpha,Mylan,1.0,,,nan,,TNF
MT-2990,nan,IL-33,Mitsubishi Tanabe,1.0,10.0,,nan,,IL33
M802,nan,CD3,Wuhan YZY Biopharma,1.0,9.0,1.0,nan,,CD3E
M802,nan,HER2/neu,Wuhan YZY Biopharma,1.0,9.0,1.0,nan,,ERBB2
trastuzumab-TCMC,TCMC-trastuzumab,HER2/neu,NCI,1.0,,1.0,nan,,ERBB2
MEDI4166,MEDI-4166,PCSK9,Medimmune,1.0,1.0,1.0,nan,,PCSK9
DS-7080a,nan,Undisclosed,Daiichi Sankyo,1.0,,,nan,,nan
MEDI7836,nan,IL-13,Medimmune,1.0,3.0,,nan,,IL13
SC-002,nan,DLL3,"Abbvie, StemCentRx",1.0,,,nan,,DLL3
plamotamab,"XmAb13676, XENP13676",CD20,"Novartis, Xencor",1.0,9.0,,✓,,MS4A1
plamotamab,"XmAb13676, XENP13676",CD3,"Novartis, Xencor",1.0,9.0,,✓,,CD3E
epacmarstobart   >>,"KWAR23, FSI-189, GS-0189",SIRPA,"Forty Seven, Gilead, Stanford",1.0,19.0,1.0,✓,,SIRPA
GEM333   <<,nan,CD3,"GEMoaB, U.Dresden",1.0,2.0,2.0,nan,,CD3E
GEM333   <<,nan,CD33,"GEMoaB, U.Dresden",1.0,2.0,2.0,nan,,CD33
SGN-CD19B   ==,nan,CD19,Seattle Genetics,1.0,,1.0,nan,,CD19
SGN-CD123A,h7G3,IL-3Rα,Seattle Genetics,1.0,7.0,1.0,nan,,IL3RA
ASP1235,AGS62P1,FLT3,"Agensys, Astellas",1.0,5.0,2.0,nan,,FLT3
BAY1862864   <<,"BAY 1862864, CD22-TTC",CD22,Bayer,1.0,,1.0,nan,,CD22
MEDI1873,MEDI-1873,GITR,Medimmune,1.0,,1.0,nan,,TNFRSF18
HLX05   ==   ••,nan,EGFR,Shanghai Henlius,1.0,4.0,,nan,,EGFR
vulinacimab,HLX06,VEGFR-2,Henlix,1.0,1.0,,✓,,KDR
MOv18-IgE,MOv18-IgG1,FRA,"Cancer Res UK, Epsilogen",1.0,,4.0,nan,,FOSL1
MYL-1402O   ••,"Abevmy, Lextemy",VEGF-A,"Mylan, Viatris",1.0,,3.0,nan,,VEGFA
SYN004   <<,LR004,EGFR,Synermore,1.0,3.0,1.0,nan,,EGFR
MT-3724,nan,CD20,Molecular Templates,1.0,,,nan,,MS4A1
RGB-03   ••,nan,CD20,Gedeon Richter,1.0,,,nan,,MS4A1
ALT-P7,HM2-MMAE,HER2/neu,"3SBio, Alteogen",1.0,3.0,,nan,,ERBB2
XMT-1522   ==,HT-19,HER2/neu,"Adimab, Mersana, Takeda",1.0,13.0,2.0,nan,,ERBB2
PF-06671008   <<,Pfizer patent anti-P-Cadherin / CD3,CD3,"MacroGenics, Pfizer",1.0,1.0,,nan,,CD3E
PF-06671008   <<,Pfizer patent anti-P-Cadherin / CD3,P-cadherin,"MacroGenics, Pfizer",1.0,1.0,,nan,,CDH3
U3-1784,nan,FGFR4,"Daiichi Sankyo, U3 Pharma",1.0,1.0,1.0,nan,,FGFR4
lipustobart,"LZM009, LZM 009",PD-1,Livzon,1.0,3.0,,✓,,PDCD1
JCAR018   <<,M971 CAR,CD22,"Juno, NCI",1.0,7.0,1.0,nan,,CD22
JCAR023,nan,L1-CAM,Juno,1.0,,,nan,,L1CAM
idecabtagene vicleucel,"BCMA02, bb2121, Ide-cel",BCMA,"Bluebird, BMS, Celgene",1.0,11.0,3.0,nan,,TNFRSF17
Chinese PLA Gen.Hosp. anti-Prominin-1 CAR,CART133,Prominin-1,"Chinese PLA Gen.Hosp., Guangzhou Bainifu Biotech",1.0,1.0,,nan,,PROM1
U.Penn. anti-CD22 CAR,CART22,CD22,U.Penn.,1.0,,,nan,,CD22
NCI anti-GD2 CAR,GD2-CAR.OX40.28.z.ICD9,GD2,NCI,1.0,,,nan,,nan
Duke U. anti-EGFRvIII CAR   <<,nan,EGFR,Duke U.,1.0,,1.0,nan,,EGFR
Baylor Coll.Med. anti-CD19 CAR,nan,CD19,Baylor Coll.Med.,1.0,,,nan,,CD19
King's College anti-Her2 CAR,T1E28z,HER2/neu,King's College,1.0,1.0,1.0,nan,,ERBB2
U.Zurich anti-FAP CAR,nan,FAP,Univ. Zurich,1.0,,2.0,nan,,FAP
U.Penn. anti-BCMA CAR,nan,BCMA,U.Penn.,1.0,,,nan,,TNFRSF17
U.Penn. patent anti-EGFRvIII CAR,nan,EGFR,U.Penn.,1.0,2.0,1.0,nan,,EGFR
SC-005,SC57.32,Melanotransferrin,"Abbvie, StemCentRx",1.0,3.0,1.0,nan,,MFI2
JNJ-63709178   ==,Ab-178,CD3,"Genmab, Janssen Biotech",1.0,1.0,1.0,nan,,CD3E
JNJ-63709178   ==,Ab-178,IL-3Rα,"Genmab, Janssen Biotech",1.0,1.0,1.0,nan,,IL3RA
NEO-201,nan,CEACAM6,"NCI, Precision Biologics",1.0,12.0,5.0,nan,,CEACAM6
A-337,Generon anti-EpCam / CD3,CD3,Generon,1.0,3.0,,nan,,CD3E
A-337,Generon anti-EpCam / CD3,EpCAM,Generon,1.0,3.0,,nan,,EPCAM
trabikibart,CSL311,CSF2RB,CSL,1.0,7.0,1.0,✓,,CSF2RB
SGN-CD352A,nan,SLAMF6,Seattle Genetics,1.0,11.0,,nan,,SLAMF6
CBT124   ••,nan,VEGF-A,Cipla,1.0,,,nan,,VEGFA
BCD-121   <<,nan,IL-17,Biocad,1.0,3.0,,nan,,IL17A
BCD-121   <<,nan,TNF-alpha,Biocad,1.0,3.0,,nan,,TNF
UCB patent anti-CD22 CAR,nan,CD22,"Autolus, UCB",1.0,4.0,1.0,nan,,CD22
polzastobart,JTX-8064,LILRB2,"Celgene, Jounce",1.0,10.0,1.0,✓,,LILRB2
MEDI6383,nan,OX40,Medimmune,1.0,4.0,1.0,nan,,TNFRSF4
MEDI9314   ==,nan,IL-4Rα,Medimmune,1.0,,,nan,,IL4R
prafnosbart,DS-6016a,ActRI,Daiichi Sankyo,1.0,10.0,,✓,,ACVR1
BMS-986184,nan,IP-10,BMS,1.0,6.0,,nan,,CXCL10
STI-6643,nan,CD47,Sorrento,1.0,5.0,,nan,,CD47
SGN-CD48A,Seattle Genetics patent anti-CD48,CD48,Seattle Genetics,1.0,4.0,,nan,,CD48
BMS-986253,nan,IL-8,BMS,1.0,3.0,,nan,,CXCL8
tinurilimab,"BAY1834942, BAY 1834942, TPP-3310",CEACAM6,Bayer,1.0,10.0,2.0,✓,,CEACAM6
VHsquared patent anti-TNF alpha,V565,TNF-alpha,VHsquared,1.0,3.0,3.0,nan,,TNF
mipasetamab uzoptirine   ==,"ADCT-601, BGB601",AXL,"ADC Therapeutics, BerGenBio, Medimmune",1.0,17.0,1.0,✓,,AXL
SHR-A1403,nan,cMet,"Jiangsu Hengrui, Shanghai Hengrui",1.0,9.0,3.0,nan,,MET
JNJ-63898081,nan,CD3,"Genmab, Janssen Biotech",1.0,14.0,2.0,nan,,CD3E
JNJ-63898081,nan,PSMA,"Genmab, Janssen Biotech",1.0,14.0,2.0,nan,,FOLH1
DMB-3113   ••,DNB3113,TNF-alpha,Meiji Seika,1.0,,,nan,,TNF
DMB-3111   ••,DMB3111,HER2/neu,Meiji Seika,1.0,,,nan,,ERBB2
ABBV-428,LB-1,CD40,Abbvie,1.0,5.0,1.0,nan,,CD40
ABBV-428,LB-1,Mesothelin,Abbvie,1.0,5.0,1.0,nan,,MSLN
ABBV-428,LB-1,Undisclosed,Abbvie,1.0,5.0,1.0,nan,,nan
ABBV-927,nan,Undisclosed,Abbvie,1.0,,,nan,,nan
MCLA-145,nan,4-1BB,Merus,1.0,2.0,1.0,nan,,TNFRSF9
MCLA-145,nan,PD-L1,Merus,1.0,2.0,1.0,nan,,CD274
azintuxizumab vedotin   ==,ABBV-838,SLAMF7,Abbvie,1.0,5.0,1.0,✓,,SLAMF7
losatuxizumab vedotin   <<   ==,ABBV-221,EGFR,Abbvie,1.0,,2.0,✓,,EGFR
timigutuzumab   <<,"TrasGEX, TrastuzuMab-GEX, GT-Mab 7.3-GEX",HER2/neu,Glycotope,1.0,5.0,2.0,✓,,ERBB2
UB-921   ••,nan,HER2/neu,United Biopharma,1.0,,,nan,,ERBB2
bepranemab,UCB0107,Tau,"Genentech, Roche, UCB",1.0,18.0,,✓,,MAPT
amlenetug,"Lu AF82422, 2E6",Alpha-synuclein,"Genmab, H. Lundbeck",1.0,45.0,1.0,nan,,SNCA
APVO210,ES210,CD86,Aptevo,1.0,,,nan,,CD86
etevritamab,"AMG 596, AMG-596",CD3,Amgen,1.0,8.0,,✓,,CD3E
etevritamab,"AMG 596, AMG-596",EGFR,Amgen,1.0,8.0,,✓,,EGFR
OBI-833   ==,OBI-822,Globo H,"Academia Sinica, Obi Pharma",1.0,21.0,,nan,,B3GALT5
emirodatamab,"AMG 427, FLT3 HLE BITE®",CD3,Amgen,1.0,5.0,1.0,nan,,CD3E
emirodatamab,"AMG 427, FLT3 HLE BITE®",FLT3,Amgen,1.0,5.0,1.0,nan,,FLT3
MRG004A,nan,TF,"Fudan U., Shanghai Miracogen",1.0,9.0,,nan,,TF
NCI anti-CD30 CAR,nan,CD30,NCI,1.0,1.0,,nan,,TNFRSF8
Shanghai GeneChem anti-CD19 CAR,nan,CD19,Shanghai GeneChem,1.0,,,nan,,CD19
ABBV-368,nan,Undisclosed,Abbvie,1.0,,,nan,,nan
LY4101174,"14A5.2, ETx-22",Nectin-4,"Emergence, INSERM, Lilly",1.0,22.0,1.0,nan,,NECTIN4
ASN004,nan,TPBG,"Asana Bio, Mersana",1.0,,1.0,nan,,TPBG
LY3321367,nan,TIM-3,"Innovent, Lilly",1.0,10.0,2.0,nan,,HAVCR2
AMG 529,nan,ASGR1,Amgen,1.0,6.0,,nan,,ASGR1
ASKB1202   ••,nan,EGFR,Jiangsu Aosaikang Pharma,1.0,,,nan,,EGFR
FS118,nan,LAG-3,"f-star, Merck Serono",1.0,6.0,3.0,nan,,LAG3
FS118,nan,PD-L1,"f-star, Merck Serono",1.0,6.0,3.0,nan,,CD274
idactamab,MEDI7247,ASCT2,Medimmune,1.0,7.0,,✓,,SLC1A5
SYD1875,nan,TPBG,"Byondis, Synthon",1.0,8.0,,nan,,TPBG
AMG 424,nan,CD3,"Amgen, Xencor",1.0,5.0,1.0,nan,,CD3E
AMG 424,nan,CD38,"Amgen, Xencor",1.0,5.0,1.0,nan,,CD38
SC-006,nan,Undisclosed,"Abbvie, StemCentRx",1.0,,,nan,,nan
evunzekibart,ATOR-1017,4-1BB,Alligator,1.0,11.0,2.0,✓,,TNFRSF9
JNJ-61178104,nan,IL-17,"Genmab, Janssen Biotech",1.0,3.0,1.0,nan,,IL17A
JNJ-61178104,nan,TNF-alpha,"Genmab, Janssen Biotech",1.0,3.0,1.0,nan,,TNF
NTX1088,NTX-1088,CD155,"Nectin, Yissum Res.Dev.",1.0,8.0,,nan,,PVR
PZ01,nan,CD19,Pinze Lifetech,1.0,,,nan,,CD19
linavonkibart,SRK-181,TGF-β1,Scholar Rock,1.0,20.0,2.0,✓,,TGFB1
NGM120,NGM 120,GFRAL,NGM Biopharma,1.0,12.0,,nan,,GFRAL
Sym023,nan,TIM-3,Symphogen,1.0,8.0,,nan,,HAVCR2
alsevalimab,FPA150,B7-H4,Five Prime,1.0,20.0,,✓,,VTCN1
CPGJ602   ==,nan,EGFR,"3SBio, Sunshine Guojian Pharma",1.0,,,nan,,EGFR
iladatuzumab vedotin,"DCDS0780A, RO7032005",CD79b,Roche,1.0,1.0,1.0,✓,,CD79B
MEDI2228,nan,BCMA,Medimmune,1.0,8.0,5.0,nan,,TNFRSF17
TRPH-222,"CD22-4AP, CAT-02-106, RFB4",CD22,"Catalent, Redwood, R.P.Scherer Tech., Triphase",1.0,14.0,1.0,nan,,CD22
mirzotamab clezutoclax,ABBV-155,B7-H3,Abbvie,1.0,8.0,,✓,,CD276
REGN6569,nan,GITR,Regeneron,1.0,11.0,,nan,,TNFRSF18
SHR-1802,nan,LAG-3,Jiangsu Hengrui,1.0,8.0,,nan,,LAG3
STT-5058,nan,ApoC3,"Novo Nordisk, Staten Bio",1.0,19.0,1.0,nan,,APOC3
